minute,cpu_temp_c,gpu_temp_c,gpu_power_w,load1,mem_avail_kb,ra_rss_kb,ra_anon_kb,ra_file_kb,ra_shmem_kb,ra_swap_kb,ra_vsize_kb,comp_rss_kb,comp_anon_kb,comp_threads,enc_rss_kb,enc_anon_kb,hb_log_bytes,rec_log_bytes,archive_files,recovery_state,restarts,fec_groups,fec_send_errors
37.04,57.375,46.0,24.0,1.67138671875,7928008,262048,68824,191012,2212,0,2541812,46940,34540,6,120576,27992,1884901,14933,0,PLAYING,0,295143,0
37.54,55.5,45.0,21.0,1.66015625,7923904,262020,68824,191012,2184,0,2539820,46940,34540,6,120576,27992,1888794,14933,0,PLAYING,0,299014,0
38.04,55.625,46.0,26.0,1.59912109375,7922068,262024,68824,191012,2188,0,2539820,46940,34540,6,120576,27992,1892687,14933,0,PLAYING,0,303013,0
38.54,55.625,46.0,23.0,2.62451171875,7918984,262024,68824,191012,2188,0,2539820,46940,34540,6,120576,27992,1896581,14933,0,PLAYING,0,307048,0
39.04,55.75,45.0,20.0,2.29638671875,7918928,262024,68824,191012,2188,0,2536944,46940,34540,6,120576,27992,1900473,14933,0,PLAYING,0,311070,0
39.54,57.5,47.0,26.0,2.2724609375,7889232,262048,68824,191012,2212,0,2545080,46940,34540,6,120576,27992,1904366,14933,0,PLAYING,0,315111,0
40.04,56.5,45.0,24.0,1.9658203125,7869172,262048,68824,191012,2212,0,2541812,46940,34540,6,120576,27992,1908260,14933,0,PLAYING,0,318999,0
40.54,56.75,46.0,22.0,1.82568359375,7869024,262048,68824,191012,2212,0,2541812,46940,34540,6,120576,27992,1912154,14933,0,PLAYING,0,322822,0
41.04,56.25,48.0,21.0,2.49609375,7852444,262048,68824,191012,2212,0,2548012,46940,34540,6,120576,27992,1916048,14933,0,PLAYING,0,326790,0
41.54,56.375,45.0,24.0,2.27392578125,7865744,262048,68824,191012,2212,0,2545080,46940,34540,6,120576,27992,1919941,14933,0,PLAYING,0,330801,0
42.04,55.875,45.0,21.0,2.02734375,7855788,262044,68824,191012,2208,0,2543088,46940,34540,6,120576,27992,1923833,14933,0,PLAYING,0,334824,0
42.54,57.0,46.0,23.0,2.06298828125,7856696,262048,68824,191012,2212,0,2543860,46940,34540,6,120576,27992,1927727,14933,0,PLAYING,0,338873,0
43.04,57.5,45.0,24.0,1.8359375,7843936,262048,68824,191012,2212,0,2543860,46940,34540,6,120576,27992,1931619,14933,0,PLAYING,0,342992,0
43.54,55.625,45.0,24.0,2.43212890625,7873220,262004,68824,191012,2168,0,2537772,46940,34540,6,120576,27992,1935508,14933,0,PLAYING,0,346874,0
44.04,56.125,46.0,24.0,1.857421875,7839276,262024,68824,191012,2188,0,2539820,46940,34540,6,120576,27992,1939400,14933,0,PLAYING,0,350849,0
44.54,55.75,45.0,21.0,1.76904296875,7862496,262024,68824,191012,2188,0,2539820,46940,34540,6,120576,27992,1943292,14933,0,PLAYING,0,354910,0
45.05,55.5,45.0,22.0,1.66650390625,7866428,262024,68824,191012,2188,0,2539820,46940,34540,6,120576,27992,1947183,14933,0,PLAYING,0,358930,0
45.55,56.625,45.0,21.0,1.9326171875,7869824,262048,68824,191012,2212,0,2541812,46940,34540,6,120576,27992,1951075,14933,0,PLAYING,0,363026,0
46.05,56.25,47.0,24.0,2.162109375,7865296,262048,68824,191012,2212,0,2541812,46940,34540,6,120576,27992,1954966,14933,0,PLAYING,0,366906,0
46.55,57.0,46.0,25.0,2.22900390625,7857076,262048,68824,191012,2212,0,2541812,46940,34540,6,120576,27992,1958861,14933,0,PLAYING,0,370729,0
47.05,56.625,46.0,20.0,2.0634765625,7854984,262048,68824,191012,2212,0,2538164,46940,34540,6,120576,27992,1962750,14933,0,PLAYING,0,374610,0
47.55,56.875,46.0,24.0,1.96728515625,7840192,262048,68824,191012,2212,0,2548012,46940,34540,6,120576,27992,1966643,14933,0,PLAYING,0,378657,0
48.05,55.875,46.0,23.0,1.79052734375,7856344,261980,68824,191012,2144,0,2545136,46940,34540,6,120576,27992,1970536,14933,0,PLAYING,0,382653,0
48.55,56.5,45.0,23.0,1.84033203125,7852856,262048,68824,191012,2212,0,2543032,46940,34540,6,120576,27992,1974168,14933,0,PLAYING,0,386791,0
49.05,56.5,46.0,23.0,1.57666015625,7847708,262048,68824,191012,2212,0,2543032,46940,34540,6,120576,27992,1978063,14933,0,PLAYING,0,390906,0
49.55,55.5,45.0,24.0,1.71337890625,7840868,261984,68824,191012,2148,0,2537772,46976,34576,6,120576,27992,1981955,14933,0,PLAYING,0,394778,0
50.05,55.375,45.0,23.0,1.580078125,7844240,262024,68824,191012,2188,0,2539820,46976,34576,6,120576,27992,1985846,14933,0,PLAYING,0,398722,0
50.55,55.625,46.0,23.0,1.52783203125,7841460,262024,68824,191012,2188,0,2539820,46976,34576,6,120576,27992,1989741,14933,0,PLAYING,0,402764,0
51.05,56.0,45.0,24.0,1.783203125,7841456,262024,68824,191012,2188,0,2539820,46976,34576,6,120576,27992,1993633,14933,0,PLAYING,0,406810,0
51.55,56.0,45.0,24.0,2.4560546875,7848372,262048,68824,191012,2212,0,2542640,46976,34576,6,120576,27992,1997529,14933,0,PLAYING,0,410854,0
52.05,55.625,45.0,24.0,2.08642578125,7836648,262048,68824,191012,2212,0,2541812,46976,34576,6,120576,27992,2001417,14933,0,PLAYING,0,414706,0
52.55,56.125,46.0,23.0,1.78857421875,7842092,262048,68824,191012,2212,0,2543860,46976,34576,6,120576,27992,2005310,14933,0,PLAYING,0,418568,0
53.05,56.125,45.0,22.0,2.16064453125,7828428,262048,68824,191012,2212,0,2550060,46976,34576,6,120576,27992,2009200,14933,0,PLAYING,0,422524,0
53.55,56.25,45.0,25.0,2.16015625,7844540,262048,68824,191012,2212,0,2541432,46976,34576,6,120576,27992,2013093,14933,0,PLAYING,0,426530,0
54.05,55.25,45.0,23.0,2.61083984375,7837464,261996,68824,191012,2160,0,2541040,46976,34576,6,120576,27992,2016986,14933,0,PLAYING,0,430511,0
54.55,56.75,45.0,24.0,2.283203125,7846492,262048,68824,191012,2212,0,2545080,46976,34576,6,120576,27992,2020878,14933,0,PLAYING,0,434600,0
55.05,56.0,45.0,20.0,2.21630859375,7843292,262048,68824,191012,2212,0,2545080,46976,34576,6,120576,27992,2024770,14933,0,PLAYING,0,438682,0
55.56,56.125,45.0,25.0,2.083984375,7839632,263268,68824,192232,2212,0,2542648,46976,34576,6,120576,27992,2028665,14933,0,PLAYING,0,442609,0
56.06,55.375,45.0,24.0,2.06494140625,7837488,263244,68824,192232,2188,0,2538600,47008,34608,6,120576,27992,2032562,14933,0,PLAYING,0,446479,0
56.56,55.125,44.0,21.0,1.84912109375,7824004,263244,68824,192232,2188,0,2538600,47008,34608,6,120576,27992,2036456,14933,0,PLAYING,0,450506,0
57.06,55.125,45.0,23.0,1.8173828125,7846796,263244,68824,192232,2188,0,2538600,47008,34608,6,120576,27992,2040345,14933,0,PLAYING,0,454550,0
57.56,55.5,45.0,24.0,1.77490234375,7842652,263268,68824,192232,2212,0,2541812,47040,34640,6,120576,27992,2044234,14933,0,PLAYING,0,458636,0
58.06,56.0,45.0,23.0,1.7783203125,7848264,263268,68824,192232,2212,0,2545080,47040,34640,6,120576,27992,2048127,14933,0,PLAYING,0,462572,0
58.56,56.25,45.0,25.0,1.57666015625,7856224,263268,68824,192232,2212,0,2541812,47040,34640,6,120576,27992,2052016,14933,0,PLAYING,0,466390,0
59.06,56.5,44.0,23.0,1.4228515625,7852896,263268,68824,192232,2212,0,2541812,47040,34640,6,120576,27992,2055910,14933,0,PLAYING,0,470238,0
59.56,56.0,45.0,22.0,1.53076171875,7856804,263268,68824,192232,2212,0,2543860,47040,34640,6,120576,27992,2059802,14933,0,PLAYING,0,474297,0
60.06,55.375,46.0,24.0,1.58154296875,7853316,263236,68824,192232,2180,0,2543088,47040,34640,6,120596,28012,2063696,14933,0,PLAYING,0,478246,0
60.56,56.0,45.0,22.0,1.56689453125,7848072,263268,68824,192232,2212,0,2543032,47040,34640,6,120596,28012,2067587,14933,0,PLAYING,0,482393,0
61.06,55.5,45.0,21.0,1.78173828125,7889152,263268,68824,192232,2212,0,2548012,47040,34640,6,120596,28012,2071476,14933,0,PLAYING,0,486491,0
61.56,55.625,45.0,20.0,2.15478515625,7907432,263268,68824,192232,2212,0,2541432,47040,34640,6,120596,28012,2075366,14933,0,PLAYING,0,490490,0
62.06,55.25,45.0,24.0,1.83447265625,7898572,263244,68824,192232,2188,0,2539820,47040,34640,6,120596,28012,2079259,14933,0,PLAYING,0,494372,0
62.56,54.875,45.0,24.0,1.91455078125,7895696,263244,68824,192232,2188,0,2539820,47040,34640,6,120596,28012,2083151,14933,0,PLAYING,0,498389,0
63.06,55.0,45.0,23.0,1.99267578125,7895676,263244,68824,192232,2188,0,2539820,47040,34640,6,120596,28012,2087047,14933,0,PLAYING,0,502423,0
63.56,55.5,45.0,23.0,1.76318359375,7895052,263268,68824,192232,2212,0,2545080,47056,34656,6,120596,28012,2090679,14933,0,PLAYING,0,506546,0
64.06,55.375,45.0,24.0,1.55078125,7899180,263268,68824,192232,2212,0,2541432,47056,34656,6,120596,28012,2094571,14933,0,PLAYING,0,510454,0
64.56,56.0,45.0,24.0,1.45361328125,7894692,263268,68824,192232,2212,0,2541812,47056,34656,6,120596,28012,2098460,14933,0,PLAYING,0,514268,0
65.06,56.625,45.0,20.0,1.56201171875,7911456,263268,68824,192232,2212,0,2541812,47056,34656,6,120596,28012,2102350,14933,0,PLAYING,0,518117,0
65.56,56.625,45.0,26.0,1.6748046875,7899588,263268,68824,192232,2212,0,2543032,47056,34656,6,120596,28012,2106241,14933,0,PLAYING,0,522209,0
66.07,55.625,45.0,24.0,1.64501953125,7902048,263228,68824,192232,2172,0,2543088,47056,34656,6,120596,28012,2110133,14933,0,PLAYING,0,526172,0
66.57,56.25,45.0,22.0,1.56982421875,7907552,263268,68824,192232,2212,0,2541812,47056,34656,6,120596,28012,2114028,14933,0,PLAYING,0,530279,0
67.07,56.25,45.0,24.0,2.0927734375,7902976,263268,68824,192232,2212,0,2543032,47056,34656,6,120596,28012,2117920,14933,0,PLAYING,0,534368,0
67.57,56.75,46.0,24.0,1.85107421875,7900312,264868,68824,193832,2212,0,2543032,47056,34656,6,120596,28012,2121813,14933,0,PLAYING,0,538292,0
68.07,55.25,45.0,20.0,1.9091796875,7897316,266948,68824,195944,2180,0,2539820,47056,34656,6,120596,28012,2125706,14933,0,PLAYING,0,542192,0
68.57,55.125,45.0,24.0,2.13232421875,7893876,270092,71960,195944,2188,0,2539820,47056,34656,6,120596,28012,2129601,14933,0,PLAYING,0,546183,0
69.07,55.125,46.0,23.0,2.01123046875,7889580,270092,71960,195944,2188,0,2539820,47056,34656,6,120596,28012,2133493,14933,0,PLAYING,0,550219,0
69.57,55.0,45.0,20.0,1.974609375,7894780,270080,71960,195944,2176,0,2538160,47056,34656,6,120596,28012,2137387,14933,0,PLAYING,0,554236,0
70.07,56.75,48.0,24.0,1.94921875,7898300,270116,71960,195944,2212,0,2543032,47056,34656,6,120596,28012,2141282,14933,0,PLAYING,0,558310,0
70.57,55.375,45.0,21.0,1.76806640625,7896292,270116,71960,195944,2212,0,2539384,47056,34656,6,120596,28012,2145173,14933,0,PLAYING,0,562182,0
71.07,56.5,46.0,23.0,2.330078125,7888820,270116,71960,195944,2212,0,2541812,47056,34656,6,120596,28012,2149065,14933,0,PLAYING,0,566044,0
71.57,56.75,45.0,24.0,2.009765625,7888420,270116,71960,195944,2212,0,2550004,47056,34656,6,120596,28012,2152959,14933,0,PLAYING,0,569871,0
72.07,56.625,46.0,26.0,1.896484375,7904512,270116,71960,195944,2212,0,2541812,47056,34656,6,120596,28012,2156853,14933,0,PLAYING,0,573961,0
72.57,55.375,45.0,24.0,1.8251953125,7904276,270092,71960,195944,2188,0,2539820,47056,34656,6,120596,28012,2160746,14933,0,PLAYING,0,577922,0
73.07,56.5,45.0,23.0,1.939453125,7910460,270116,71960,195944,2212,0,2543032,47056,34656,6,120596,28012,2164635,14933,0,PLAYING,0,582020,0
73.57,56.25,45.0,25.0,1.87646484375,7905900,270116,71960,195944,2212,0,2541812,47056,34656,6,120596,28012,2168524,14933,0,PLAYING,0,586138,0
74.07,55.0,45.0,25.0,2.0244140625,7909984,270060,71960,195944,2156,0,2539820,47056,34656,6,120596,28012,2172417,14933,0,PLAYING,0,589995,0
74.57,55.0,44.0,21.0,2.21728515625,7904104,270092,71960,195944,2188,0,2539820,47056,34656,6,120596,28012,2176310,14933,0,PLAYING,0,593938,0
75.07,55.0,45.0,21.0,2.427734375,7906160,270092,71960,195944,2188,0,2539820,47056,34656,6,120596,28012,2180202,14933,0,PLAYING,0,597986,0
75.57,54.875,44.0,21.0,2.0009765625,7891664,270092,71960,195944,2188,0,2539820,47056,34656,6,120596,28012,2184093,14933,0,PLAYING,0,602018,0
76.08,56.125,44.0,24.0,1.88330078125,7910888,270116,71960,195944,2212,0,2545080,47056,34656,6,120596,28012,2187986,14933,0,PLAYING,0,606112,0
76.58,55.875,45.0,23.0,1.65478515625,7912472,270116,71960,195944,2212,0,2541812,47056,34656,6,120596,28012,2191876,14933,0,PLAYING,0,610005,0
77.08,56.125,45.0,26.0,1.91796875,7899004,270116,71960,195944,2212,0,2541812,47064,34664,6,120596,28012,2195772,14933,0,PLAYING,0,613834,0
77.58,55.625,45.0,24.0,2.57958984375,7895360,270116,71960,195944,2212,0,2543088,47064,34664,6,120596,28012,2199660,14933,0,PLAYING,0,617787,0
78.08,56.125,45.0,24.0,2.09326171875,7911824,270116,71960,195944,2212,0,2545080,47064,34664,6,120596,28012,2203558,14933,0,PLAYING,0,621792,0
78.58,55.25,46.0,26.0,2.03955078125,7901856,270092,71960,195944,2188,0,2536944,47092,34692,6,120596,28012,2207452,14933,0,PLAYING,0,625850,0
79.08,55.5,44.0,23.0,1.94287109375,7907144,270116,71960,195944,2212,0,2538164,47100,34700,6,120596,28012,2211346,14933,0,PLAYING,0,629949,0
79.58,56.125,45.0,24.0,1.71923828125,7906480,270116,71960,195944,2212,0,2541812,47100,34700,6,120596,28012,2214979,14933,0,PLAYING,0,634019,0
80.08,55.0,45.0,26.0,1.69189453125,7905128,270052,71960,195944,2148,0,2537772,47100,34700,6,120596,28012,2218871,14933,0,PLAYING,0,637897,0
80.58,54.5,44.0,20.0,1.779296875,7900732,270092,71960,195944,2188,0,2539820,47104,34704,6,120596,28012,2222763,14933,0,PLAYING,0,641870,0
81.08,54.5,44.0,19.0,1.9521484375,7903688,270092,71960,195944,2188,0,2539820,47104,34704,6,120596,28012,2226654,14933,0,PLAYING,0,645897,0
81.58,54.5,44.0,24.0,1.81298828125,7902564,270092,71960,195944,2188,0,2539820,47104,34704,6,120596,28012,2230548,14933,0,PLAYING,0,649945,0
82.08,55.25,44.0,21.0,1.85107421875,7902536,270116,71960,195944,2212,0,2541812,47136,34736,6,120596,28012,2232364,15147,0,PAUSED_RECOVERING,0,654033,0
82.58,55.125,45.0,20.0,2.033203125,7906540,270116,71960,195944,2212,0,2545080,47140,34740,6,120596,28012,2236257,15347,0,PLAYING,0,658082,0
